Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Controller : Home,"74,625","62,061",0:01:15,"53,597",62.95,54.82
Mayor's Office of Housing and Community Development : Renters,"73,675","52,859",0:01:34,"31,599",54.42,39.94
San Francisco Public Works : Permits,"73,582","30,669",0:00:38,"17,941",14.5,26.67
San Francisco Port Department : Cruises,"73,241","31,898",0:00:26,"26,074",13.27,30.03
San Francisco Police Department : Reports,"72,661","60,092",0:01:02,"43,373",43,37.17
San Francisco Public Works : Standard Specifications & Plans,"70,571","33,380",0:00:38,"14,671",5.92,20.94
City and County of San Francisco : Health Care Security Ordinance (HCSO),"70,520","50,768",0:02:24,"41,051",47.91,41.2
Search | Department of Building Inspection,"68,993","57,513",0:00:41,"1,738",37.38,13.61
San Francisco Public Works : Street Sweeping,"67,201","39,344",0:00:36,"33,609",43.15,45.31
City and County of San Francisco : Cats - Adoption Center,"65,844","25,409",0:00:43,"7,005",40.39,15.66
City and County of San Francisco : Office of the City Administrator,"63,587","44,534",0:00:49,"22,106",54.27,34.2
City and County of San Francisco : Paid Sick Leave Ordinance (PSLO),"63,126","49,060",0:04:05,"39,309",75.53,68.56
Secured Property Tax | Treasurer & Tax Collector,"61,990","48,233",0:00:34,"26,807",6.4,9.91
Codes | Department of Building Inspection,"61,913","39,160",0:02:45,"25,927",49.14,49.84
San Francisco Public Works : Subdivisions and Mapping,"61,591","24,449",0:00:51,"19,528",10.8,29.11
Delinquent Property Tax | Treasurer & Tax Collector,"61,360","53,794",0:02:27,"51,023",82.65,79.56
City and County of San Francisco : Ethics Commission,"61,179","41,247",0:01:40,"31,456",31.21,24.02
Contact Us | Treasurer & Tax Collector,"61,076","44,048",0:02:38,"7,012",53.76,41.88
Filing and Payment Center | Treasurer & Tax Collector,"59,892","37,972",0:00:50,"2,940",17.22,10.17
City and County of San Francisco : How to Obtain Copies of Marriage Licenses,"59,568","45,058",0:02:37,"24,947",68.68,54.87
San Francisco Department of Human Resources : Employees,"58,289","45,587",0:00:23,"23,370",21.54,14.63
Mayor's Office of Housing : Current Listings: Below Market Rate Ownership Units,"57,434","36,716",0:01:23,"26,620",56.58,36.52
San Francisco Police Department : Career Opportunities,"57,418","43,692",0:01:43,"27,018",50.94,48.14
San Francisco Department of Human Resources : Getting a Job,"56,031","46,314",0:02:40,"27,978",69.77,55.17
San Francisco Public Works : Contact Us,"55,239","27,879",0:00:42,"13,702",25.63,34.18
San Francisco Department of Human Resources : Memoranda of Understanding 2014,"53,915","47,374",0:04:36,"27,920",84.43,71.45
San Francisco Port Department : Parking Information,"53,773","14,216",0:00:52,"9,908",9.07,19.74
San Francisco Police Department : SFPD CrimeMAPS,"53,425","45,300",0:02:28,"42,179",78.67,75.54
For Your Information - Page Not Found | Treasurer & Tax Collector,"52,649","39,244",0:02:39,"28,006",30.61,29.51
San Francisco Law Library : Home,"50,839","40,209",0:03:13,"38,498",66.73,60.96
Online Services | Welcome,"50,602","36,570",0:01:27,"12,973",29.17,44.91
City and County of San Francisco : Local Ballot Measure Status,"50,543","29,172",0:02:41,"21,197",70.06,49.19
Mayor's Office of Housing : Home,"50,097","38,326",0:01:54,"35,254",56.14,46.74
San Francisco Department of Emergency Management : Home,"48,705","38,720",0:02:50,"34,182",64.48,56.53
San Francisco Public Works : 2015 Mechanical Street Sweeping Holiday Schedule,"48,201","30,060",0:00:49,"24,228",53.57,52.32
San Francisco Rent Board : Forms Center,"47,955","27,529",0:02:29,"8,993",63.5,35.82
Street Use Permits,"47,947","41,051",0:04:24,"38,850",85.89,80.02
Mayor's Office of Housing and Community Development : Affordable Housing Resources,"47,923","37,913",0:02:04,"15,260",69.4,42.74
Payroll Expense Tax | Treasurer & Tax Collector,"47,587","34,205",0:01:17,"16,580",41.06,24.34
City and County of San Francisco : Forms,"46,817","33,201",0:00:25,"2,964",44.85,9.04
San Francisco Department of Human Resources : CCSF ePayroll,"46,082","37,802",0:02:45,"19,252",75.71,67.19
Unsecured Property Tax | Treasurer & Tax Collector,"45,301","30,321",0:01:45,"9,321",43.05,27.06
Mayor's Office of Housing and Community Development : Current Homeownership Listings,"43,611","33,473",0:00:44,"10,941",58.68,28.05
San Francisco Police Department : Stations,"43,132","35,673",0:01:18,"29,905",65.25,54.81
Board of Supervisors : Full Board Meetings,"42,998","27,616",0:01:54,"7,773",66.98,37.7
2014 Gross Receipts Tax & Payroll Expense Tax Annual Filing | Treasurer & Tax Collector,"42,912","27,606",0:02:55,"9,021",34.22,28.71
Business Registration Fee Renewal Online Instructions | Treasurer & Tax Collector,"42,516","32,256",0:02:31,"2,123",40.3,20.22
San Francisco : City Agencies,"42,162","32,633",0:02:52,"23,325",74.19,63.74
City and County of San Francisco : Wedding Package,"41,582","27,476",0:01:12,"15,303",41.5,29.73
San Francisco Rent Board : Ordinance & Regulations,"41,020","28,262",0:01:13,"8,747",41.44,23.52
San Francisco Police Department : Search,"40,943","38,266",0:01:11,"6,663",92.54,42.65
Mayor's Office of Housing : Below Market Rate (BMR) Affordable Rental Units Available,"40,414","28,716",0:01:15,"19,287",62.58,41.87
City and County of San Francisco : Home,"39,919","30,016",0:01:10,"17,515",64.66,44.78
San Francisco Public Works : Services A-Z,"39,691","17,763",0:00:22,"4,989",16.12,17.07
"City and County of San Francisco : November 3, 2015 Election","38,978","32,457",0:01:38,"27,015",67.78,62.03
San Francisco Department of Human Resources : New This Week,"38,638","34,874",0:01:34,"6,416",49.75,38.71
San Francisco Rent Board : Search,"37,944","35,512",0:01:15,"3,913",71.86,26.57
San Francisco Police Department : Information,"37,885","28,857",0:00:47,"5,866",87.18,26.83
Permit and Licenses | Treasurer & Tax Collector,"37,641","24,945",0:01:36,"7,997",37.82,25.34
San Francisco Fire Department : Employment Opportunities,"37,173","28,141",0:01:15,"16,130",38.95,33.34
Forms & Handouts | Department of Building Inspection,"36,734","21,992",0:02:23,"7,291",53.81,37.54
San Francisco Department of Human Resources : Online Tuition Reimbursement Process,"36,577","32,449",0:03:00,"25,335",85.36,74.58
Frequently Asked Questions | Department of Building Inspection,"36,124","31,218",0:02:33,"21,743",76.36,62.24
Mayor's Office of Housing and Community Development : Inclusionary Housing Below Market Rate (BMR) Ownership Program,"35,975","28,120",0:01:36,"15,096",59.51,39.65
City and County of San Francisco : FAQs,"35,705","29,109",0:02:33,"10,856",64.4,43.07
San Francisco Police Department : Obtain a Police Report,"35,267","30,178",0:01:39,"11,925",80.83,53.71
City and County of San Francisco : San Francisco Labor Laws: Citywide,"35,191","23,867",0:00:58,"15,577",36.65,28.13
City and County of San Francisco : Office of Labor Standards Enforcement,"34,553","23,403",0:01:04,"17,994",29.16,26.12
Mayor's Office of Housing : Renters,"34,329","24,392",0:01:15,"14,394",56.84,36.79
Board of Supervisors : Supervisors Information,"34,305","20,563",0:00:52,"7,791",57.46,27.28
"Department of Children, Youth and Their Families : HOME","34,259","26,193",0:02:48,"24,278",57.22,51.28
City and County of San Francisco : Birth & Death Certificate,"33,862","24,703",0:02:21,"16,832",53.3,45.68
"City and County of San Francisco : November 3, 2015 Election Information for Campaigns and Candidates","33,534","25,572",0:02:47,"17,099",69.79,58.43
Business Form Central | Treasurer & Tax Collector,"33,411","20,589",0:02:12,"5,016",35.19,28.19
Board of Supervisors : Staff,"33,317","29,804",0:01:54,"5,665",82.29,45.15
City and County of San Francisco : Office of Contract Administration,"33,041","21,391",0:01:07,"18,563",43.9,36.25
City and County of San Francisco : City Hall Events,"32,880","23,631",0:00:43,"9,803",40.29,26.08
San Francisco 311 : Blocked Driveway,"32,847","29,640",0:04:29,"29,029",88.09,86.05
Contact Us | Department of Building Inspection,"32,610","24,499",0:02:43,"8,829",56.06,53.89
Government | Welcome,"32,432","23,832",0:01:03,"4,085",30.45,33.98
San Francisco : City and County of San Francisco Holidays,"32,429","29,274",0:03:02,"28,514",89.77,88.12
San Francisco Police Department : Crime Reports That Can Be Filed Online,"32,151","29,342",0:03:44,"7,915",86.68,79.96
Board of Supervisors : Committees,"31,761","20,941",0:00:52,"4,733",66.77,25.3
San Francisco Fire Department : Contact Us,"30,781","26,129",0:02:59,"12,940",82.62,68.62
City and County of San Francisco : Birth & Death Certificates,"30,585","22,065",0:02:12,"15,350",46.91,41.37
Inspection Services | Department of Building Inspection,"30,452","19,023",0:00:51,"5,812",34.77,21.2
San Francisco Department of Human Resources : Forms and Documents,"30,297","22,735",0:02:00,"8,246",68.7,40.23
San Francisco District Attorney : Redirect,"30,187","29,737",0:03:43,"28,750",98.09,94.97
Controller : Accounting Operations & Systems Division (AOSD) & FAMIS Financial System Home,"30,148","27,336",0:03:17,"26,251",90.39,84.97
Film Commission : HOME,"30,105","25,441",0:01:09,"24,111",58.72,55.71
City and County of San Francisco : District & Citywide Maps,"30,004","17,163",0:01:18,"13,652",52.18,44.25
Mayor's Office of Housing and Community Development : Homebuyers,"29,927","23,362",0:01:33,"12,154",60.87,40.75
San Francisco Rent Board : The Rent Ordinance,"29,812","16,836",0:00:34,"6,966",29.64,13.12
San Francisco 311 : Track Service Request,"29,801","22,622",0:02:21,"15,241",76.73,63.26
Mayor's Office of Housing and Community Development : Housing Programs,"29,479","22,341",0:00:31,"8,155",61.15,22.41
Treasure Island Development Authority,"29,418","24,121",0:00:52,"20,833",38.52,37.55
San Francisco : Online Services,"29,246","22,927",0:01:39,"15,140",65.99,55.7
San Francisco Fire Department : H-2: Entry-Level Firefighter,"29,137","24,848",0:02:38,"10,148",77.79,65.97
Board of Supervisors : Overview,"29,055","24,934",0:01:27,"2,081",86.4,31.79
Home | Rent Board,"28,967","19,420",0:01:39,"15,960",30.2,28.14
SF INTRANET,"28,912","22,409",0:01:31,"12,423",29.75,42.99
Mayor's Office of Housing and Community Development : Inclusionary Housing Below Market Rate (BMR) Rental Program,"28,799","20,512",0:02:04,"9,294",56.82,41.66
San Francisco Public Works : Search,"28,349","26,709",0:01:35,"6,406",87.71,46.46
Information Sheets | Department of Building Inspection,"28,266","18,052",0:02:43,"3,745",49.79,36.7
City and County of San Francisco : Forms - Marriage License,"28,191","17,163",0:01:48,"2,059",47.69,25.75
San Francisco 311 : Complaints – Noise - 400209,"28,139","22,927",0:03:52,"21,922",81.89,77.5
San Francisco Rent Board : Contact Us,"28,037","24,393",0:03:38,"10,683",78.7,67.08
San Francisco Department of Human Resources : Employee Relations and MOUs,"27,591","23,917",0:01:12,"6,860",74.11,39.94
San Francisco Fire Department : Fire Station Locations,"27,572","23,409",0:02:48,"16,407",79.39,65.1
San Francisco Department of Human Resources : Benefits Overview,"27,520","22,887",0:02:05,"7,948",66.88,44.09
Mayor's Office of Housing and Community Development : Inclusionary Housing BMR Rental Program Overview,"27,467","22,675",0:02:18,"10,134",72.59,45.23
Office of Economic and Workforce Development : Home,"27,154","22,151",0:01:11,"21,089",47.94,45.06
San Francisco Port Department : Cruise Lines,"27,039","10,657",0:00:35,"2,550",8.24,22.67
"City and County of San Francisco : Departments, Divisions, Offices","26,771","18,340",0:00:37,"1,466",49.52,20.26
Business Taxes & Fees | Treasurer & Tax Collector,"26,673","16,125",0:00:14,"1,031",12.61,2.91
Business Resource Center | Treasurer & Tax Collector,"26,627","18,784",0:00:53,747,28.57,13.25
Mayor's Office of Housing and Community Development : BMR New-Rental Unit: 1010 16th Street,"26,426","19,870",0:04:23,"16,832",69.09,63.29
Civil Service Commission,"26,294","19,684",0:01:03,"15,641",38.09,33.03
San Francisco Police Department : Salary and Benefits,"26,173","22,399",0:01:50,"11,699",56.83,42.13
Filing a Complaint | Department of Building Inspection,"25,680","19,042",0:02:28,"11,914",61.32,56.05
San Francisco Public Works : Trees,"25,432","11,233",0:00:36,"7,520",13.91,24.15
Office of the Mayor : Contact the Mayor,"25,119","17,115",0:04:03,"8,688",63.37,55.71
San Francisco Port Department : Vessel Schedule,"25,058","12,227",0:00:44,"9,401",22.96,36.38
San Francisco Public Works : Mobile Food Facilities,"24,560","13,212",0:00:57,"12,576",31.09,51.02
2015_GR_Worksheet_3.17.15.pdf | Treasurer & Tax Collector,"24,560","15,601",0:02:43,880,27.79,23.9
San Francisco 311 : Streets and Sidewalks,"24,347","18,309",0:00:35,"4,307",49.59,18.85
Mandatory Soft Story Program | Department of Building Inspection,"24,310","17,068",0:02:23,"14,639",61.52,53.61
City and County of San Francisco : Fictitious Business Names,"24,005","14,144",0:01:03,"9,482",46.51,34.38
Visitors | Welcome,"23,945","18,118",0:01:46,"3,632",50.05,46.04
City and County of San Francisco : Forms - Birth & Death Certificates,"23,873","20,592",0:02:40,"3,951",60.29,53.86
San Francisco : San Francisco WiFi,"23,526","20,764",0:03:45,"20,235",86.2,83.51
Mayor's Office of Housing and Community Development : New BMR Units: 1400 Mission Street,"23,498","18,955",0:03:32,"9,930",78.56,56.63
Business | Welcome,"23,487","15,455",0:00:59,"4,614",26.33,34.72
San Francisco Port Department : Cruise,"23,406","11,630",0:00:31,"9,047",18.97,34.67
City and County of San Francisco : Fictitious Business Name,"23,166","13,592",0:01:00,"8,468",45.47,31.42
General Services | Treasurer & Tax Collector,"23,023","18,298",0:00:29,855,22.95,8.29
Business Registration Information | Treasurer & Tax Collector,"22,934","14,738",0:00:38,"1,754",22.99,8.04
City and County of San Francisco : SPECIAL WEEKDAY WEDDING PACKAGE,"22,885","16,516",0:01:29,"5,601",55.92,34.86
City and County of San Francisco : SF City ID Card - How to Get a Card,"22,878","17,060",0:02:24,"8,732",70.78,51.61
City and County of San Francisco : Search For Adoptable Animals,"22,417","16,727",0:02:54,"3,967",68.87,53.25
San Francisco Port Department : Port Events,"22,393","5,157",0:00:15,"1,345",23.35,9.9
City and County of San Francisco : Fictitious Business Name (FBN) Filing Instructions,"22,327","15,347",0:01:43,"8,570",46.47,35.57
DBI Permit Tracking System | Department of Building Inspection,"22,109","15,750",0:02:27,"11,828",46.69,59.7
City and County of San Francisco : About Us,"22,092","15,851",0:00:43,"2,044",69.28,20.58
Supplemental Property Tax | Treasurer & Tax Collector,"22,087","19,566",0:03:03,"16,867",82.03,74.09
City and County of San Francisco : Photo Gallery,"21,924","11,682",0:00:12,"1,152",27.34,6.65
San Francisco Port Department : Job Opportunities,"21,711","8,886",0:00:36,"6,044",20.02,33.35
San Francisco Port Department : Search,"21,484","9,760",0:00:36,"1,150",0.35,19.73
City and County of San Francisco : Qualify to Do Business,"21,410","15,643",0:03:21,"9,823",66.11,54.65
Mayor's Office of Housing and Community Development : Lender List,"21,313","18,690",0:03:55,"10,677",82.04,62.21
Board of Supervisors : Search,"21,255","19,292",0:01:26,"2,187",82.72,32.11
Departments and Agencies | Welcome,"21,230","16,346",0:02:23,"3,637",54.45,50.79
Office of the County Clerk,"21,226","15,939",0:00:35,"15,459",14.85,18.32
Fees | Department of Building Inspection,"21,181","14,873",0:02:03,"4,608",51.99,35.59
Mayor's Office of Housing : Inclusionary Housing Below Market Rate (BMR) Ownership Program,"21,121","16,563",0:01:38,"9,083",62.59,42.55
Landlord & Tenant Information | Rent Board,"21,118","9,221",0:00:45,"3,648",24.9,12.1
San Francisco Police Department : Job Openings at the San Francisco Police Department,"21,106","17,472",0:01:42,"9,119",55.49,47.54
Controller : Search,"20,902","19,313",0:01:15,"7,805",96.63,56.02
Mayor's Office of Housing and Community Development : Approved First-Time Home Buyer Counseling Agencies,"20,770","16,397",0:03:32,"6,043",78.57,52.17
San Francisco Department of Human Resources : Employee Handbook,"20,699","17,553",0:02:48,"5,456",64.2,47.45
Mayor's Office of Housing : Housing Developments Accepting Applications,"20,439","14,452",0:02:38,"7,605",76.98,50.9
San Francisco : Government,"20,391","15,732",0:01:19,"8,063",55.15,44.17
San Francisco Public Works : Redirect,"20,265","19,997",0:01:23,"19,949",98.46,97.97
San Francisco Police Department : SFPD Command Staff,"20,224","16,021",0:00:58,"7,194",68.15,37.78
Board of Supervisors : Jane Kim,"20,207","15,299",0:00:52,"7,489",54.4,32.08
City and County of San Francisco : Small Animals - Adoption Center,"20,131","12,059",0:00:40,"3,257",48.08,24.52
Board of Supervisors : Contact,"20,056","16,838",0:02:56,"6,900",65.81,44.19
San Francisco District Attorney : Employment & Internship,"19,728","17,361",0:02:56,"11,168",83.39,72
Sexual Harassment: Frequently Asked Questions | Department on the Status of Women,"19,701","17,948",0:04:22,"17,907",92.48,90.43
San Francisco Police Department : SFPD Academy,"19,661","16,166",0:01:05,"9,699",58.51,40.94
Board of Supervisors : Katy Tang,"19,605","13,863",0:00:43,"6,115",50.02,25.03
San Francisco Department of Human Resources : Contact Us,"19,571","17,040",0:02:40,"9,563",73.17,60.4
Board of Supervisors : London Breed,"19,542","14,757",0:00:52,"6,480",53.41,28.75
City and County of San Francisco : Public Notices & Meetings,"19,461","14,140",0:00:21,943,39.81,11.18
City and County of San Francisco : Redirect,"19,401","18,956",0:00:55,"18,925",97.33,96.79
Board of Supervisors : Scott Wiener,"19,257","14,179",0:00:49,"6,449",48.78,29.84
Mayor's Office of Housing and Community Development : Loan Assistance For First Time Homebuyers,"19,099","15,338",0:01:34,"8,138",61.93,38.1
Mayor's Office of Housing and Community Development : Inclusionary Housing BMR Ownership Program Overview,"19,089","16,364",0:04:40,"13,250",73.86,69.35
City and County of San Francisco : Event Rental Fees,"18,854","14,330",0:01:34,"4,360",60.14,35.28
San Francisco 311 : Street and Sidewalk Cleaning,"18,824","15,791",0:02:42,"8,186",82.67,69.93
Property Tax Resource Center | Treasurer & Tax Collector,"18,773","12,986",0:00:30,817,23.9,8.32
San Francisco District Attorney : Contact Us,"18,747","13,768",0:01:52,"5,882",70.62,52.41
Registration Renewal & Payroll Expense Tax Filing | Treasurer & Tax Collector,"18,629","13,636",0:00:52,"8,121",9.99,10.28
City and County of San Francisco : Employer Annual Reporting Form Instructions,"18,626","13,383",0:05:53,"8,597",63.73,56.96
Mayor's Office of Housing and Community Development : BMR Rental Application,"18,602","15,647",0:02:32,"8,207",77.52,55.31
Personal Identification Number (PIN) Information | Treasurer & Tax Collector,"18,585","14,081",0:04:21,"5,170",59.96,47.59
San Francisco : Business,"18,450","13,271",0:01:21,"8,215",60.91,48.62
City and County of San Francisco : SF City ID Card,"18,413","13,955",0:00:57,"11,028",31.86,29.27
San Francisco Port Department : Cruise Terminal ─ The James R. Herman at Pier 27,"18,340","8,003",0:00:38,"4,108",13.53,29.2
Rules | Civil Service Commission,"18,306","10,250",0:00:39,"4,195",33.11,14.98
Information for Lessors of Residential Real Estate (Residential Landlords) | Treasurer & Tax Collector,"18,247","12,671",0:03:34,"6,557",42.79,30.77
San Francisco Public Works : Street Space Occupancy Permit,"18,241","8,669",0:01:12,"7,196",25.53,36.56
San Francisco Police Department : Central Station,"18,225","15,749",0:00:52,"5,561",82.23,39.78
San Francisco 311 : Request Service,"18,193","14,645",0:00:33,"8,203",37.47,25.13
Inspection Scheduling Procedures | Department of Building Inspection,"18,004","13,471",0:01:51,"4,112",66.06,44.12
Human Rights Commission,"17,989","14,047",0:01:18,"13,262",48.52,46.49
San Francisco Public Works : Bureaus and Divisions,"17,940","7,875",0:00:34,"3,762",15.87,24.83
San Francisco Port Department : RFPs / RFQs,"17,787","6,761",0:00:36,"4,770",1.74,27.99
San Francisco Police Department : Police Commission,"17,785","13,346",0:00:51,"8,052",71.29,42.06
San Francisco Fire Department : Training Schedule & Registration,"17,775","15,013",0:03:23,"10,267",77.88,69
San Francisco Police Department : Southern Station,"17,646","14,840",0:00:56,"6,339",79.93,43.59
San Francisco : Search,"17,625","14,402",0:01:33,"2,442",95.99,52.78
Administrative Bulletins | Department of Building Inspection,"17,526","13,569",0:02:41,"4,431",59.9,44.73
Board of Supervisors : Malia Cohen,"17,414","12,873",0:00:50,"6,117",51.56,30
San Francisco Port Department : Maps and Webcams of Port Property,"17,394","5,428",0:00:18,"1,261",5.23,10.99
2015 Tax Rates | Treasurer & Tax Collector,"17,386","11,622",0:02:35,"2,945",63.52,31.16
Board of Supervisors : Julie Christensen,"17,358","13,550",0:00:55,"5,391",61.51,33.77
Adult Probation Department,"17,343","12,840",0:01:31,"10,699",38.7,36.6
San Francisco Port Department : Pier 27 Cruise Terminal,"17,286","7,543",0:00:29,"4,821",12.78,27.52
San Francisco Public Works : Jobs and Internships,"17,219","9,112",0:00:50,"5,989",36.08,43.97
City and County of San Francisco : Contract Monitoring Division,"17,213","12,851",0:01:08,"9,733",21.79,20.04
San Francisco Fire Department : Neighborhood Emergency Response Team (NERT),"17,031","14,467",0:01:24,"12,385",51.31,46.57
San Francisco Department of Human Resources : HR Professionals,"17,008","13,782",0:00:33,"6,527",31.29,20.29
San Francisco Gross Receipts Tax | San Francisco,"16,994","12,158",0:04:46,"11,508",68.34,67.16
In-Person Services | Treasurer & Tax Collector,"16,921","12,725",0:00:26,565,18.94,6.99
Board of Supervisors : 2015,"16,851","8,388",0:01:28,"1,653",59.41,23.87
San Francisco Rent Board : Section 37.9 Evictions,"16,832","14,386",0:04:39,"7,724",75.91,61.32
San Francisco : Visitors,"16,772","13,776",0:01:42,"9,315",72.09,61.6
San Francisco Police Department : Department News and Updates,"16,708","10,563",0:00:34,"4,289",71.39,32.67
SFERS : Home,"16,670","13,261",0:00:34,"11,069",51.91,39.95
San Francisco Rent Board : Topic No. 051: This Year's Annual Allowable Increase,"16,654","13,784",0:02:02,"7,497",69.95,49.93
San Francisco Department of Emergency Management : EMS Agency,"16,615","11,562",0:00:24,"7,160",26.79,18.31
City and County of San Francisco : Fair Chance Ordinance (FCO),"16,608","13,130",0:02:22,"9,864",74.28,57.92
San Francisco Police Department : Mission Station,"16,585","14,564",0:00:59,"6,520",78.67,44.09
Mayor's Office of Housing and Community Development : Below Market Rate Ownership Overview,"16,562","13,213",0:01:35,"2,910",73.64,34.81
San Francisco Port Department : About Us,"16,496","6,526",0:00:27,"2,173",9.07,19.06
