"","PageTitle","Entrances","Bounce.Rate","X..Exit","AvgTimeonPage","PageViews","UniquePageViews"
"73","City and County of San Francisco : Office of the City Administrator",22106,54.27,34.2,"49S",63587,44534
"74","City and County of San Francisco : Paid Sick Leave Ordinance (PSLO)",39309,75.53,68.56,"4M 5S",63126,49060
"75","Secured Property Tax | Treasurer & Tax Collector",26807,6.4,9.91,"34S",61990,48233
"76","Codes | Department of Building Inspection",25927,49.14,49.84,"2M 45S",61913,39160
"77","San Francisco Public Works : Subdivisions and Mapping",19528,10.8,29.11,"51S",61591,24449
"78","Delinquent Property Tax | Treasurer & Tax Collector",51023,82.65,79.56,"2M 27S",61360,53794
"79","City and County of San Francisco : Ethics Commission",31456,31.21,24.02,"1M 40S",61179,41247
"80","Contact Us | Treasurer & Tax Collector",7012,53.76,41.88,"2M 38S",61076,44048
"81","Filing and Payment Center | Treasurer & Tax Collector",2940,17.22,10.17,"50S",59892,37972
"82","City and County of San Francisco : How to Obtain Copies of Marriage Licenses",24947,68.68,54.87,"2M 37S",59568,45058
"83","San Francisco Department of Human Resources : Employees",23370,21.54,14.63,"23S",58289,45587
"84","Mayor's Office of Housing : Current Listings: Below Market Rate Ownership Units",26620,56.58,36.52,"1M 23S",57434,36716
"85","San Francisco Police Department : Career Opportunities",27018,50.94,48.14,"1M 43S",57418,43692
"86","San Francisco Department of Human Resources : Getting a Job",27978,69.77,55.17,"2M 40S",56031,46314
"87","San Francisco Public Works : Contact Us",13702,25.63,34.18,"42S",55239,27879
"88","San Francisco Department of Human Resources : Memoranda of Understanding 2014",27920,84.43,71.45,"4M 36S",53915,47374
"89","San Francisco Port Department : Parking Information",9908,9.07,19.74,"52S",53773,14216
"90","San Francisco Police Department : SFPD CrimeMAPS",42179,78.67,75.54,"2M 28S",53425,45300
"91","For Your Information - Page Not Found | Treasurer & Tax Collector",28006,30.61,29.51,"2M 39S",52649,39244
"92","San Francisco Law Library : Home",38498,66.73,60.96,"3M 13S",50839,40209
"93","Online Services | Welcome",12973,29.17,44.91,"1M 27S",50602,36570
"94","City and County of San Francisco : Local Ballot Measure Status",21197,70.06,49.19,"2M 41S",50543,29172
"95","Mayor's Office of Housing : Home",35254,56.14,46.74,"1M 54S",50097,38326
"96","San Francisco Department of Emergency Management : Home",34182,64.48,56.53,"2M 50S",48705,38720
"97","San Francisco Public Works : 2015 Mechanical Street Sweeping Holiday Schedule",24228,53.57,52.32,"49S",48201,30060
"98","San Francisco Rent Board : Forms Center",8993,63.5,35.82,"2M 29S",47955,27529
"99","Street Use Permits",38850,85.89,80.02,"4M 24S",47947,41051
"100","Mayor's Office of Housing and Community Development : Affordable Housing Resources",15260,69.4,42.74,"2M 4S",47923,37913
"101","Payroll Expense Tax | Treasurer & Tax Collector",16580,41.06,24.34,"1M 17S",47587,34205
"102","City and County of San Francisco : Forms",2964,44.85,9.04,"25S",46817,33201
"103","San Francisco Department of Human Resources : CCSF ePayroll",19252,75.71,67.19,"2M 45S",46082,37802
"104","Unsecured Property Tax | Treasurer & Tax Collector",9321,43.05,27.06,"1M 45S",45301,30321
"105","Mayor's Office of Housing and Community Development : Current Homeownership Listings",10941,58.68,28.05,"44S",43611,33473
"106","San Francisco Police Department : Stations",29905,65.25,54.81,"1M 18S",43132,35673
"107","Board of Supervisors : Full Board Meetings",7773,66.98,37.7,"1M 54S",42998,27616
"108","2014 Gross Receipts Tax & Payroll Expense Tax Annual Filing | Treasurer & Tax Collector",9021,34.22,28.71,"2M 55S",42912,27606
"109","Business Registration Fee Renewal Online Instructions | Treasurer & Tax Collector",2123,40.3,20.22,"2M 31S",42516,32256
"110","San Francisco : City Agencies",23325,74.19,63.74,"2M 52S",42162,32633
"111","City and County of San Francisco : Wedding Package",15303,41.5,29.73,"1M 12S",41582,27476
"112","San Francisco Rent Board : Ordinance & Regulations",8747,41.44,23.52,"1M 13S",41020,28262
"113","San Francisco Police Department : Search",6663,92.54,42.65,"1M 11S",40943,38266
"114","Mayor's Office of Housing : Below Market Rate (BMR) Affordable Rental Units Available",19287,62.58,41.87,"1M 15S",40414,28716
"115","City and County of San Francisco : Home",17515,64.66,44.78,"1M 10S",39919,30016
"116","San Francisco Public Works : Services A-Z",4989,16.12,17.07,"22S",39691,17763
"117","City and County of San Francisco : November 3, 2015 Election",27015,67.78,62.03,"1M 38S",38978,32457
"118","San Francisco Department of Human Resources : New This Week",6416,49.75,38.71,"1M 34S",38638,34874
"119","San Francisco Rent Board : Search",3913,71.86,26.57,"1M 15S",37944,35512
"120","San Francisco Police Department : Information",5866,87.18,26.83,"47S",37885,28857
"121","Permit and Licenses | Treasurer & Tax Collector",7997,37.82,25.34,"1M 36S",37641,24945
"122","San Francisco Fire Department : Employment Opportunities",16130,38.95,33.34,"1M 15S",37173,28141
"123","Forms & Handouts | Department of Building Inspection",7291,53.81,37.54,"2M 23S",36734,21992
"124","San Francisco Department of Human Resources : Online Tuition Reimbursement Process",25335,85.36,74.58,"3M 0S",36577,32449
"125","Frequently Asked Questions | Department of Building Inspection",21743,76.36,62.24,"2M 33S",36124,31218
"126","Mayor's Office of Housing and Community Development : Inclusionary Housing Below Market Rate (BMR) Ownership Program",15096,59.51,39.65,"1M 36S",35975,28120
"127","City and County of San Francisco : FAQs",10856,64.4,43.07,"2M 33S",35705,29109
"128","San Francisco Police Department : Obtain a Police Report",11925,80.83,53.71,"1M 39S",35267,30178
"129","City and County of San Francisco : San Francisco Labor Laws: Citywide",15577,36.65,28.13,"58S",35191,23867
"130","City and County of San Francisco : Office of Labor Standards Enforcement",17994,29.16,26.12,"1M 4S",34553,23403
"131","Mayor's Office of Housing : Renters",14394,56.84,36.79,"1M 15S",34329,24392
"132","Board of Supervisors : Supervisors Information",7791,57.46,27.28,"52S",34305,20563
"133","Department of Children, Youth and Their Families : HOME",24278,57.22,51.28,"2M 48S",34259,26193
"134","City and County of San Francisco : Birth & Death Certificate",16832,53.3,45.68,"2M 21S",33862,24703
"135","City and County of San Francisco : November 3, 2015 Election Information for Campaigns and Candidates",17099,69.79,58.43,"2M 47S",33534,25572
"136","Business Form Central | Treasurer & Tax Collector",5016,35.19,28.19,"2M 12S",33411,20589
"137","Board of Supervisors : Staff",5665,82.29,45.15,"1M 54S",33317,29804
"138","City and County of San Francisco : Office of Contract Administration",18563,43.9,36.25,"1M 7S",33041,21391
"139","City and County of San Francisco : City Hall Events",9803,40.29,26.08,"43S",32880,23631
"140","San Francisco 311 : Blocked Driveway",29029,88.09,86.05,"4M 29S",32847,29640
"141","Contact Us | Department of Building Inspection",8829,56.06,53.89,"2M 43S",32610,24499
"142","Government | Welcome",4085,30.45,33.98,"1M 3S",32432,23832
"143","San Francisco : City and County of San Francisco Holidays",28514,89.77,88.12,"3M 2S",32429,29274
"144","San Francisco Police Department : Crime Reports That Can Be Filed Online",7915,86.68,79.96,"3M 44S",32151,29342
"145","Board of Supervisors : Committees",4733,66.77,25.3,"52S",31761,20941
"146","San Francisco Fire Department : Contact Us",12940,82.62,68.62,"2M 59S",30781,26129
"147","City and County of San Francisco : Birth & Death Certificates",15350,46.91,41.37,"2M 12S",30585,22065
"148","Inspection Services | Department of Building Inspection",5812,34.77,21.2,"51S",30452,19023
"149","San Francisco Department of Human Resources : Forms and Documents",8246,68.7,40.23,"2M 0S",30297,22735
"150","San Francisco District Attorney : Redirect",28750,98.09,94.97,"3M 43S",30187,29737
"151","Controller : Accounting Operations & Systems Division (AOSD) & FAMIS Financial System Home",26251,90.39,84.97,"3M 17S",30148,27336
"152","Film Commission : HOME",24111,58.72,55.71,"1M 9S",30105,25441
"153","City and County of San Francisco : District & Citywide Maps",13652,52.18,44.25,"1M 18S",30004,17163
"154","Mayor's Office of Housing and Community Development : Homebuyers",12154,60.87,40.75,"1M 33S",29927,23362
"155","San Francisco Rent Board : The Rent Ordinance",6966,29.64,13.12,"34S",29812,16836
"156","San Francisco 311 : Track Service Request",15241,76.73,63.26,"2M 21S",29801,22622
"157","Mayor's Office of Housing and Community Development : Housing Programs",8155,61.15,22.41,"31S",29479,22341
"158","Treasure Island Development Authority",20833,38.52,37.55,"52S",29418,24121
"159","San Francisco : Online Services",15140,65.99,55.7,"1M 39S",29246,22927
"160","San Francisco Fire Department : H-2: Entry-Level Firefighter",10148,77.79,65.97,"2M 38S",29137,24848
"161","Board of Supervisors : Overview",2081,86.4,31.79,"1M 27S",29055,24934
"162","Home | Rent Board",15960,30.2,28.14,"1M 39S",28967,19420
"163","SF INTRANET",12423,29.75,42.99,"1M 31S",28912,22409
"164","Mayor's Office of Housing and Community Development : Inclusionary Housing Below Market Rate (BMR) Rental Program",9294,56.82,41.66,"2M 4S",28799,20512
"165","San Francisco Public Works : Search",6406,87.71,46.46,"1M 35S",28349,26709
"166","Information Sheets | Department of Building Inspection",3745,49.79,36.7,"2M 43S",28266,18052
"167","City and County of San Francisco : Forms - Marriage License",2059,47.69,25.75,"1M 48S",28191,17163
"168","San Francisco 311 : Complaints – Noise - 400209",21922,81.89,77.5,"3M 52S",28139,22927
"169","San Francisco Rent Board : Contact Us",10683,78.7,67.08,"3M 38S",28037,24393
"170","San Francisco Department of Human Resources : Employee Relations and MOUs",6860,74.11,39.94,"1M 12S",27591,23917
"171","San Francisco Fire Department : Fire Station Locations",16407,79.39,65.1,"2M 48S",27572,23409
"172","San Francisco Department of Human Resources : Benefits Overview",7948,66.88,44.09,"2M 5S",27520,22887
"173","Mayor's Office of Housing and Community Development : Inclusionary Housing BMR Rental Program Overview",10134,72.59,45.23,"2M 18S",27467,22675
"174","Office of Economic and Workforce Development : Home",21089,47.94,45.06,"1M 11S",27154,22151
"175","San Francisco Port Department : Cruise Lines",2550,8.24,22.67,"35S",27039,10657
"176","City and County of San Francisco : Departments, Divisions, Offices",1466,49.52,20.26,"37S",26771,18340
"177","Business Taxes & Fees | Treasurer & Tax Collector",1031,12.61,2.91,"14S",26673,16125
"178","Business Resource Center | Treasurer & Tax Collector",747,28.57,13.25,"53S",26627,18784
"179","Mayor's Office of Housing and Community Development : BMR New-Rental Unit: 1010 16th Street",16832,69.09,63.29,"4M 23S",26426,19870
"180","Civil Service Commission",15641,38.09,33.03,"1M 3S",26294,19684
"181","San Francisco Police Department : Salary and Benefits",11699,56.83,42.13,"1M 50S",26173,22399
"182","Filing a Complaint | Department of Building Inspection",11914,61.32,56.05,"2M 28S",25680,19042
"183","San Francisco Public Works : Trees",7520,13.91,24.15,"36S",25432,11233
"184","Office of the Mayor : Contact the Mayor",8688,63.37,55.71,"4M 3S",25119,17115
"185","San Francisco Port Department : Vessel Schedule",9401,22.96,36.38,"44S",25058,12227
"186","San Francisco Public Works : Mobile Food Facilities",12576,31.09,51.02,"57S",24560,13212
"187","2015_GR_Worksheet_3.17.15.pdf | Treasurer & Tax Collector",880,27.79,23.9,"2M 43S",24560,15601
"188","San Francisco 311 : Streets and Sidewalks",4307,49.59,18.85,"35S",24347,18309
"189","Mandatory Soft Story Program | Department of Building Inspection",14639,61.52,53.61,"2M 23S",24310,17068
"190","City and County of San Francisco : Fictitious Business Names",9482,46.51,34.38,"1M 3S",24005,14144
"191","Visitors | Welcome",3632,50.05,46.04,"1M 46S",23945,18118
"192","City and County of San Francisco : Forms - Birth & Death Certificates",3951,60.29,53.86,"2M 40S",23873,20592
"193","San Francisco : San Francisco WiFi",20235,86.2,83.51,"3M 45S",23526,20764
"194","Mayor's Office of Housing and Community Development : New BMR Units: 1400 Mission Street",9930,78.56,56.63,"3M 32S",23498,18955
"195","Business | Welcome",4614,26.33,34.72,"59S",23487,15455
"196","San Francisco Port Department : Cruise",9047,18.97,34.67,"31S",23406,11630
"197","City and County of San Francisco : Fictitious Business Name",8468,45.47,31.42,"1M 0S",23166,13592
"198","General Services | Treasurer & Tax Collector",855,22.95,8.29,"29S",23023,18298
"199","Business Registration Information | Treasurer & Tax Collector",1754,22.99,8.04,"38S",22934,14738
"200","City and County of San Francisco : SPECIAL WEEKDAY WEDDING PACKAGE",5601,55.92,34.86,"1M 29S",22885,16516
"201","City and County of San Francisco : SF City ID Card - How to Get a Card",8732,70.78,51.61,"2M 24S",22878,17060
"202","City and County of San Francisco : Search For Adoptable Animals",3967,68.87,53.25,"2M 54S",22417,16727
"203","San Francisco Port Department : Port Events",1345,23.35,9.9,"15S",22393,5157
"204","City and County of San Francisco : Fictitious Business Name (FBN) Filing Instructions",8570,46.47,35.57,"1M 43S",22327,15347
"205","DBI Permit Tracking System | Department of Building Inspection",11828,46.69,59.7,"2M 27S",22109,15750
"206","City and County of San Francisco : About Us",2044,69.28,20.58,"43S",22092,15851
"207","Supplemental Property Tax | Treasurer & Tax Collector",16867,82.03,74.09,"3M 3S",22087,19566
"208","City and County of San Francisco : Photo Gallery",1152,27.34,6.65,"12S",21924,11682
"209","San Francisco Port Department : Job Opportunities",6044,20.02,33.35,"36S",21711,8886
"210","San Francisco Port Department : Search",1150,0.35,19.73,"36S",21484,9760
"211","City and County of San Francisco : Qualify to Do Business",9823,66.11,54.65,"3M 21S",21410,15643
"212","Mayor's Office of Housing and Community Development : Lender List",10677,82.04,62.21,"3M 55S",21313,18690
"213","Board of Supervisors : Search",2187,82.72,32.11,"1M 26S",21255,19292
"214","Departments and Agencies | Welcome",3637,54.45,50.79,"2M 23S",21230,16346
"215","Office of the County Clerk",15459,14.85,18.32,"35S",21226,15939
"216","Fees | Department of Building Inspection",4608,51.99,35.59,"2M 3S",21181,14873
"217","Mayor's Office of Housing : Inclusionary Housing Below Market Rate (BMR) Ownership Program",9083,62.59,42.55,"1M 38S",21121,16563
"218","Landlord & Tenant Information | Rent Board",3648,24.9,12.1,"45S",21118,9221
"219","San Francisco Police Department : Job Openings at the San Francisco Police Department",9119,55.49,47.54,"1M 42S",21106,17472
"220","Controller : Search",7805,96.63,56.02,"1M 15S",20902,19313
"221","Mayor's Office of Housing and Community Development : Approved First-Time Home Buyer Counseling Agencies",6043,78.57,52.17,"3M 32S",20770,16397
"222","San Francisco Department of Human Resources : Employee Handbook",5456,64.2,47.45,"2M 48S",20699,17553
"223","Mayor's Office of Housing : Housing Developments Accepting Applications",7605,76.98,50.9,"2M 38S",20439,14452
"224","San Francisco : Government",8063,55.15,44.17,"1M 19S",20391,15732
"225","San Francisco Public Works : Redirect",19949,98.46,97.97,"1M 23S",20265,19997
"226","San Francisco Police Department : SFPD Command Staff",7194,68.15,37.78,"58S",20224,16021
"227","Board of Supervisors : Jane Kim",7489,54.4,32.08,"52S",20207,15299
"228","City and County of San Francisco : Small Animals - Adoption Center",3257,48.08,24.52,"40S",20131,12059
"229","Board of Supervisors : Contact",6900,65.81,44.19,"2M 56S",20056,16838
"230","San Francisco District Attorney : Employment & Internship",11168,83.39,72,"2M 56S",19728,17361
"231","Sexual Harassment: Frequently Asked Questions | Department on the Status of Women",17907,92.48,90.43,"4M 22S",19701,17948
"232","San Francisco Police Department : SFPD Academy",9699,58.51,40.94,"1M 5S",19661,16166
"233","Board of Supervisors : Katy Tang",6115,50.02,25.03,"43S",19605,13863
"234","San Francisco Department of Human Resources : Contact Us",9563,73.17,60.4,"2M 40S",19571,17040
"235","Board of Supervisors : London Breed",6480,53.41,28.75,"52S",19542,14757
"236","City and County of San Francisco : Public Notices & Meetings",943,39.81,11.18,"21S",19461,14140
"237","City and County of San Francisco : Redirect",18925,97.33,96.79,"55S",19401,18956
"238","Board of Supervisors : Scott Wiener",6449,48.78,29.84,"49S",19257,14179
"239","Mayor's Office of Housing and Community Development : Loan Assistance For First Time Homebuyers",8138,61.93,38.1,"1M 34S",19099,15338
"240","Mayor's Office of Housing and Community Development : Inclusionary Housing BMR Ownership Program Overview",13250,73.86,69.35,"4M 40S",19089,16364
"241","City and County of San Francisco : Event Rental Fees",4360,60.14,35.28,"1M 34S",18854,14330
"242","San Francisco 311 : Street and Sidewalk Cleaning",8186,82.67,69.93,"2M 42S",18824,15791
"243","Property Tax Resource Center | Treasurer & Tax Collector",817,23.9,8.32,"30S",18773,12986
"244","San Francisco District Attorney : Contact Us",5882,70.62,52.41,"1M 52S",18747,13768
"245","Registration Renewal & Payroll Expense Tax Filing | Treasurer & Tax Collector",8121,9.99,10.28,"52S",18629,13636
"246","City and County of San Francisco : Employer Annual Reporting Form Instructions",8597,63.73,56.96,"5M 53S",18626,13383
"247","Mayor's Office of Housing and Community Development : BMR Rental Application",8207,77.52,55.31,"2M 32S",18602,15647
"248","Personal Identification Number (PIN) Information | Treasurer & Tax Collector",5170,59.96,47.59,"4M 21S",18585,14081
"249","San Francisco : Business",8215,60.91,48.62,"1M 21S",18450,13271
"250","City and County of San Francisco : SF City ID Card",11028,31.86,29.27,"57S",18413,13955
"251","San Francisco Port Department : Cruise Terminal ─ The James R. Herman at Pier 27",4108,13.53,29.2,"38S",18340,8003
"252","Rules | Civil Service Commission",4195,33.11,14.98,"39S",18306,10250
"253","Information for Lessors of Residential Real Estate (Residential Landlords) | Treasurer & Tax Collector",6557,42.79,30.77,"3M 34S",18247,12671
"254","San Francisco Public Works : Street Space Occupancy Permit",7196,25.53,36.56,"1M 12S",18241,8669
"255","San Francisco Police Department : Central Station",5561,82.23,39.78,"52S",18225,15749
"256","San Francisco 311 : Request Service",8203,37.47,25.13,"33S",18193,14645
"257","Inspection Scheduling Procedures | Department of Building Inspection",4112,66.06,44.12,"1M 51S",18004,13471
"258","Human Rights Commission",13262,48.52,46.49,"1M 18S",17989,14047
"259","San Francisco Public Works : Bureaus and Divisions",3762,15.87,24.83,"34S",17940,7875
"260","San Francisco Port Department : RFPs / RFQs",4770,1.74,27.99,"36S",17787,6761
"261","San Francisco Police Department : Police Commission",8052,71.29,42.06,"51S",17785,13346
"262","San Francisco Fire Department : Training Schedule & Registration",10267,77.88,69,"3M 23S",17775,15013
"263","San Francisco Police Department : Southern Station",6339,79.93,43.59,"56S",17646,14840
"264","San Francisco : Search",2442,95.99,52.78,"1M 33S",17625,14402
"265","Administrative Bulletins | Department of Building Inspection",4431,59.9,44.73,"2M 41S",17526,13569
"266","Board of Supervisors : Malia Cohen",6117,51.56,30,"50S",17414,12873
"267","San Francisco Port Department : Maps and Webcams of Port Property",1261,5.23,10.99,"18S",17394,5428
"268","2015 Tax Rates | Treasurer & Tax Collector",2945,63.52,31.16,"2M 35S",17386,11622
"269","Board of Supervisors : Julie Christensen",5391,61.51,33.77,"55S",17358,13550
"270","Adult Probation Department",10699,38.7,36.6,"1M 31S",17343,12840
"271","San Francisco Port Department : Pier 27 Cruise Terminal",4821,12.78,27.52,"29S",17286,7543
"272","San Francisco Public Works : Jobs and Internships",5989,36.08,43.97,"50S",17219,9112
"273","City and County of San Francisco : Contract Monitoring Division",9733,21.79,20.04,"1M 8S",17213,12851
"274","San Francisco Fire Department : Neighborhood Emergency Response Team (NERT)",12385,51.31,46.57,"1M 24S",17031,14467
"275","San Francisco Department of Human Resources : HR Professionals",6527,31.29,20.29,"33S",17008,13782
"276","San Francisco Gross Receipts Tax | San Francisco",11508,68.34,67.16,"4M 46S",16994,12158
"277","In-Person Services | Treasurer & Tax Collector",565,18.94,6.99,"26S",16921,12725
"278","Board of Supervisors : 2015",1653,59.41,23.87,"1M 28S",16851,8388
"279","San Francisco Rent Board : Section 37.9 Evictions",7724,75.91,61.32,"4M 39S",16832,14386
"280","San Francisco : Visitors",9315,72.09,61.6,"1M 42S",16772,13776
"281","San Francisco Police Department : Department News and Updates",4289,71.39,32.67,"34S",16708,10563
"282","SFERS : Home",11069,51.91,39.95,"34S",16670,13261
"283","San Francisco Rent Board : Topic No. 051: This Year's Annual Allowable Increase",7497,69.95,49.93,"2M 2S",16654,13784
"284","San Francisco Department of Emergency Management : EMS Agency",7160,26.79,18.31,"24S",16615,11562
"285","City and County of San Francisco : Fair Chance Ordinance (FCO)",9864,74.28,57.92,"2M 22S",16608,13130
"286","San Francisco Police Department : Mission Station",6520,78.67,44.09,"59S",16585,14564
"287","Mayor's Office of Housing and Community Development : Below Market Rate Ownership Overview",2910,73.64,34.81,"1M 35S",16562,13213
"288","San Francisco Port Department : About Us",2173,9.07,19.06,"27S",16496,6526
"289","SFGov : Department of Technology",12758,70.79,63,"1M 22S",16445,13583
"290","City and County of San Francisco : Fees",1081,34.78,8.75,"20S",16438,11561
"291","City and County of San Francisco : Voting",3975,55.42,32.39,"1M 0S",16283,11869
"292","Mayor's Office of Housing and Community Development : New BMR Units: 1688 Pine Street (Rockwell)",9496,67.87,59.97,"4M 29S",16213,11965
"293","San Francisco Rent Board : Topic No. 151: Subletting and Replacement of Roommates",7326,74.12,48.43,"2M 50S",16202,13534
"294","San Francisco Police Department : Redirect",16048,99.56,99.34,"1M 27S",16143,16077
"295","Mayor's Office of Housing : Current Homeownership Listings",4246,65.45,30.12,"37S",15989,12333
"296","Board of Supervisors : Mark Farrell",5256,55.75,28.84,"49S",15943,12180
"297","Board of Supervisors",3178,76.87,19.6,"55S",15935,7217
"298","Office of the Mayor : News Releases",3985,54.86,29.48,"54S",15877,11287
"299","City and County of San Francisco : Soft Story",11290,75.92,70.08,"3M 54S",15790,12170
"300","City and County of San Francisco : Office of Small Business",8853,40.43,34.31,"1M 9S",15770,11230
"301","Mayor's Office of Housing and Community Development : Search",3596,88.54,44.82,"1M 36S",15755,14760
